courseId,course_title,course_difficulty,course_durationHours,course_provider,course_competency
COURSE_0,Communication Advanced Course,advanced,29.5477637306448,ARAMBH Platform Catalog,Communication
COURSE_1,Data Engineering Beginner Course,beginner,7.0837862931119036,NSSTA,Data Engineering
COURSE_2,Leadership Advanced Course,advanced,24.443485457985144,NSSTA,Leadership
COURSE_3,Project Management Beginner Course,beginner,29.157952118406165,iGOT,Project Management
COURSE_4,Project Management Beginner Course,beginner,39.69625081235748,ARAMBH Platform Catalog,Project Management
COURSE_5,Communication Intermediate Course,intermediate,1.2755859035689787,ARAMBH Platform Catalog,Communication
COURSE_6,Data Science Intermediate Course,intermediate,16.59457789689496,NSSTA,Data Science
COURSE_7,Project Management Beginner Course,beginner,25.117054363990405,NSSTA,Project Management
COURSE_8,Communication Intermediate Course,intermediate,2.811566096079911,NSSTA,Communication
COURSE_9,Data Engineering Beginner Course,beginner,1.5173334852347946,ARAMBH Platform Catalog,Data Engineering
COURSE_10,Communication Intermediate Course,intermediate,16.03124359905673,iGOT,Communication
COURSE_11,Data Engineering Beginner Course,beginner,10.399993175014457,NSSTA,Data Engineering
COURSE_12,Communication Beginner Course,beginner,2.3411523234935174,iGOT,Communication
COURSE_13,Data Science Beginner Course,beginner,26.838369089805298,iGOT,Data Science
COURSE_14,Project Management Intermediate Course,intermediate,22.321700894387906,iGOT,Project Management
COURSE_15,Data Engineering Advanced Course,advanced,31.230180111083467,iGOT,Data Engineering
COURSE_16,Statistics Advanced Course,advanced,24.31809917363232,NSSTA,Statistics
COURSE_17,Project Management Beginner Course,beginner,2.763864267510985,ARAMBH Platform Catalog,Project Management
COURSE_18,Data Engineering Beginner Course,beginner,33.32076285692524,iGOT,Data Engineering
COURSE_19,Data Science Beginner Course,beginner,22.165147243171692,ARAMBH Platform Catalog,Data Science
COURSE_20,Data Engineering Advanced Course,advanced,3.907475103511062,NSSTA,Data Engineering
COURSE_21,Data Science Intermediate Course,intermediate,8.749911579832723,NSSTA,Data Science
COURSE_22,Leadership Beginner Course,beginner,28.74233615719735,NSSTA,Leadership
