userId,user_jobRole,user_department,user_primaryGapDomain,user_currentLevel,user_requiredLevel,user_skillGap,user_quizAttempts,user_averageQuizPercentage
USER_0,Analyst,Operations,Communication,2,5,3,5,93.97884382870075
USER_1,Director,Operations,Statistics,4,5,1,5,76.34648916141323
USER_2,Analyst,IT,Data Science,2,3,1,10,45.27325747240863
USER_3,Director,Statistics,Project Management,4,5,1,2,71.47068337421528
USER_4,Manager,IT,Data Engineering,2,5,3,10,91.93042755363882
USER_5,Manager,HR,Project Management,1,4,3,1,73.40577358083578
USER_6,Specialist,Operations,Statistics,1,5,4,5,98.07964399025406
USER_7,Analyst,IT,Communication,4,5,1,16,71.790401390867
USER_8,Specialist,Operations,Data Science,2,4,2,10,95.92086053541604
USER_9,Analyst,Finance,Data Engineering,3,5,2,9,72.91618707628919
USER_10,Specialist,Finance,Statistics,1,4,3,19,55.27843928582583
USER_11,Analyst,HR,Data Engineering,1,3,2,14,68.2945713130095
USER_12,Analyst,Operations,Leadership,3,4,1,11,64.51109757615501
USER_13,Manager,IT,Data Engineering,1,5,4,2,43.98977604200665
USER_14,Director,Statistics,Project Management,2,3,1,4,52.09763920286467
USER_15,Analyst,Operations,Project Management,1,5,4,18,79.911833241772
USER_16,Analyst,Finance,Statistics,1,4,3,17,88.99596636829463
USER_17,Manager,Statistics,Project Management,1,5,4,14,74.64917625436755
USER_18,Director,Finance,Data Science,1,3,2,13,43.997146743449015
USER_19,Manager,HR,Leadership,3,5,2,6,83.8329482085581
USER_20,Analyst,Statistics,Statistics,3,5,2,19,84.48765466834273
USER_21,Analyst,Statistics,Leadership,2,3,1,4,86.71431634304506
USER_22,Manager,Finance,Data Science,2,4,2,4,92.60593820570497
USER_23,Analyst,IT,Data Science,2,4,2,12,47.649319739918944
USER_24,Director,IT,Data Engineering,1,3,2,11,86.3129188358947
USER_25,Director,IT,Leadership,3,5,2,3,82.97074448397713
USER_26,Director,Finance,Leadership,2,3,1,7,75.00350768596724
USER_27,Specialist,Finance,Statistics,3,4,1,12,48.34697164858371
USER_28,Director,IT,Statistics,1,3,2,10,95.92709694901674
USER_29,Analyst,Finance,Communication,2,3,1,16,74.57730161000879
USER_30,Director,Operations,Statistics,2,3,1,13,96.06202088614089
USER_31,Analyst,Operations,Project Management,3,5,2,13,51.17925276964724
USER_32,Manager,HR,Data Science,1,3,2,7,76.47366362765553
USER_33,Manager,IT,Data Science,1,3,2,8,46.85603800334127
USER_34,Director,Finance,Communication,2,3,1,6,60.81719211377366
USER_35,Specialist,HR,Statistics,1,5,4,11,94.76496777274772
USER_36,Specialist,Operations,Project Management,1,3,2,0,61.74363394699799
USER_37,Specialist,Finance,Leadership,2,4,2,16,50.682158012185084
USER_38,Specialist,IT,Communication,1,3,2,7,70.13170061987455
USER_39,Director,HR,Data Science,2,3,1,18,60.96321994295998
USER_40,Analyst,Operations,Project Management,1,3,2,15,73.89046799575698
USER_41,Director,Finance,Statistics,2,3,1,1,72.06735347543481
USER_42,Manager,HR,Data Science,2,4,2,3,50.91568782971627
USER_43,Director,Finance,Data Engineering,3,5,2,9,93.84582458913306
